"","population","family","body","sub","mid","ilab","slab","post"
"1","INLAND","420",165,75,21,20,16,4
"2","INLAND","420",162,82,21,NA,NA,6
"3","INLAND","420",162,82,21,20,16,6
"4","INLAND","420",163,77,21,19,16,6
"5","INLAND","420",164,79,21,20,16,6
"6","INLAND","420",164,80,21,20,16,6
"7","INLAND","420",165,78,21,20,16,6
"8","INLAND","420",165,79,21,18,15,6
"9","INLAND","420",165,81,21,20,16,6
"10","INLAND","420",165,84,21,17,16,6
"11","INLAND","420",166,80,21,19,16,6
"12","INLAND","420",166,82,21,19,16,7
"13","INLAND","420",163,82,21,20,14,6
"14","INLAND","420",167,NA,21,19,15,6
"15","INLAND","420",167,76,NA,NA,16,6
"16","INLAND","420",167,79,21,20,15,6
"17","INLAND","437",165,76,21,20,16,6
"18","INLAND","437",165,76,21,20,16,5
"19","INLAND","437",166,85,21,20,16,6
"20","INLAND","437",168,82,21,20,16,5
"21","INLAND","438",159,NA,21,NA,NA,6
"22","INLAND","438",166,82,19,20,15,6
"23","INLAND","438",166,83,19,19,NA,6
"24","INLAND","438",167,82,19,20,13,6
"25","INLAND","438",167,82,21,19,10,6
"26","INLAND","438",168,81,19,20,12,6
"27","INLAND","438",168,84,21,19,NA,8
"28","INLAND","438",168,85,21,21,11,6
"29","INLAND","438",168,83,21,20,11,6
"30","INLAND","438",169,81,19,21,12,6
"31","INLAND","438",169,78,21,18,16,7
"32","INLAND","438",170,87,19,21,NA,6
"33","INLAND","440",166,NA,19,21,16,6
"34","INLAND","440",165,78,19,20,10,7
"35","INLAND","440",165,79,19,16,NA,6
"36","INLAND","440",167,72,19,20,11,6
"37","INLAND","440",168,NA,19,20,12,6
"38","INLAND","440",168,78,21,21,10,7
"39","INLAND","440",169,86,19,20,NA,6
"40","INLAND","440",170,92,21,21,13,6
"41","INLAND","494",169,74,19,20,16,6
"42","INLAND","494",164,79,21,20,16,6
"43","INLAND","494",166,78,21,20,16,6
"44","INLAND","494",166,76,21,20,16,6
"45","INLAND","494",168,78,21,20,16,6
"46","INLAND","494",170,82,21,20,16,6
"47","INLAND","494",172,78,21,20,16,6
"48","INLAND","497",157,NA,21,20,16,6
"49","INLAND","497",161,84,21,20,16,7
"50","INLAND","497",164,75,21,19,16,7
"51","INLAND","497",165,81,21,20,16,6
"52","INLAND","497",165,82,21,20,16,6
"53","INLAND","497",165,85,21,20,16,6
"54","INLAND","497",166,72,21,20,16,6
"55","INLAND","497",166,76,19,20,15,6
"56","INLAND","497",168,80,19,20,16,6
"57","INLAND","497",170,81,21,20,16,7
"58","INLAND","507",166,81,19,20,16,6
"59","INLAND","507",163,80,21,20,12,6
"60","INLAND","507",166,81,21,19,16,5
"61","INLAND","507",167,83,21,20,16,6
"62","INLAND","507",170,82,19,20,15,6
"63","INLAND","511",165,79,19,20,16,6
"64","INLAND","511",166,79,21,20,16,7
"65","INLAND","511",166,79,21,20,16,7
"66","INLAND","511",167,81,21,20,16,6
"67","INLAND","511",167,83,21,20,16,6
"68","INLAND","511",170,81,21,20,16,6
"69","INLAND","512",171,81,21,21,16,8
"70","INLAND","512",166,82,21,21,16,7
"71","INLAND","512",167,84,21,22,16,7
"72","INLAND","512",169,80,21,21,16,6
"73","INLAND","512",169,82,19,21,16,8
"74","INLAND","512",169,88,21,20,16,7
"75","INLAND","512",170,78,21,21,17,8
"76","INLAND","515",160,74,19,20,16,7
"77","INLAND","515",162,78,19,20,16,6
"78","INLAND","515",165,83,21,20,16,6
"79","INLAND","515",166,83,19,20,16,6
"80","INLAND","515",168,78,19,20,16,6
"81","INLAND","515",168,83,19,20,16,6
"82","INLAND","515",170,84,17,20,16,6
"83","INLAND","516",167,82,21,20,15,7
"84","INLAND","516",161,78,21,20,16,6
"85","INLAND","516",165,85,19,19,15,7
"86","INLAND","516",166,82,19,20,16,8
"87","INLAND","516",167,77,19,21,17,8
"88","INLAND","516",167,91,21,20,16,7
"89","INLAND","516",167,79,19,20,14,7
"90","INLAND","516",170,76,21,20,16,6
"91","INLAND","516",170,94,21,20,16,6
"92","INLAND","516",171,78,19,20,16,8
"93","INLAND","516",173,92,21,20,16,6
"94","INLAND","516",182,90,21,20,16,6
"95","INLAND","522",166,NA,19,20,16,6
"96","INLAND","522",164,73,21,20,16,6
"97","INLAND","522",165,79,21,20,16,7
"98","INLAND","522",168,75,21,21,17,7
"99","INLAND","522",168,77,21,20,16,7
"100","INLAND","522",168,77,21,21,16,7
"101","INLAND","522",168,79,21,20,16,6
"102","INLAND","522",168,79,21,20,16,7
"103","INLAND","522",171,78,21,20,17,7
"104","INLAND","522",174,84,21,20,16,6
"105","INLAND","534",172,NA,19,20,16,7
"106","INLAND","534",167,87,21,20,16,6
"107","INLAND","534",169,NA,21,20,16,6
"108","INLAND","534",169,82,21,20,16,7
"109","INLAND","534",171,84,21,20,16,6
"110","INLAND","534",172,86,21,20,16,6
"111","INLAND","534",173,89,21,20,16,6
"112","INLAND","534",175,88,21,20,16,6
"113","INLAND","534",176,87,21,20,16,6
"114","INLAND","540",164,82,19,20,16,6
"115","INLAND","540",164,81,21,20,16,6
"116","INLAND","540",166,79,21,20,16,7
"117","INLAND","540",166,81,19,20,15,7
"118","INLAND","540",167,79,21,20,16,6
"119","INLAND","540",168,82,19,20,16,6
"120","INLAND","541",167,NA,19,20,16,6
"121","INLAND","541",162,78,21,20,16,6
"122","INLAND","541",168,83,21,20,15,6
"123","INLAND","543",170,NA,21,21,16,6
"124","INLAND","543",NA,77,NA,20,16,6
"125","INLAND","543",164,73,21,20,16,6
"126","INLAND","543",165,77,21,20,16,6
"127","INLAND","543",165,79,21,20,14,6
"128","INLAND","543",167,73,21,20,16,6
"129","INLAND","543",167,77,21,20,16,6
"130","INLAND","543",168,78,21,20,16,6
"131","INLAND","543",170,78,21,20,16,6
"132","INLAND","543",170,79,21,21,16,6
"133","INLAND","543",172,78,21,20,16,6
"134","INLAND","545",165,NA,21,20,16,7
"135","INLAND","545",166,78,21,20,16,6
"136","INLAND","545",166,79,21,20,16,7
